Property Address,City,State,Zip,For Sale Price,Land Area (AC),Latitude,Longitude,Zoning,County Name,Proposed Land Use,Owner Name,Sale Company Name,Sale Company Contact,Sale Company Phone,Sale Company Fax,Last Sale Date,Last Sale Price,In SFHA,Fema Flood Zone,FEMA Map Date,Floodplain Area,% Pop Grwth 2020-2024(5m),% Pop Grwth 2024-2029(5m),% Pop Grwth 2020-2024(10m),% Pop Grwth 2024-2029(10m),2000 Population(3m),2020 Population(3m),2024 Population(3m),2029 Population(3m),2000 Population(5m),2020 Population(5m),2024 Population(5m),2029 Population(5m),2000 Population(10m),2020 Population(10m),2024 Population(10m),2029 Population(10m),2020 Med HH Inc(3m),2024 Avg HH Inc(3m),2024 Med HH Inc(3m),2029 Avg HH Inc(3m),2029 Med HH Inc(3m),2020 Med HH Inc(5m),2024 Avg HH Inc(5m),2024 Med HH Inc(5m),2029 Avg HH Inc(5m),2029 Med HH Inc(5m),2020 Med HH Inc(10m),2024 Avg HH Inc(10m),2024 Med HH Inc(10m),2029 Avg HH Inc(10m),2029 Med HH Inc(10m),"2024 Home Value $1,000,000+(3m)","2024 Home Value $100,000-200,000(3m)","2024 Home Value $200,000-300,000(3m)","2024 Home Value $300,000-400,000(3m)","2024 Home Value $400,000-500,000(3m)","2024 Home Value $500,000-1,000,000(3m)","2024 Home Value <100,000(3m)","2029 Home Value $1,000,000+(3m)","2029 Home Value $100,000-200,000(3m)","2029 Home Value $200,000-300,000(3m)","2029 Home Value $300,000-400,000(3m)","2029 Home Value $400,000-500,000(3m)","2029 Home Value $500,000-1,000,000(3m)","2029 Home Value <100,000(3m)",2024 Median Home Value(3m),2029 Median HH Value(3m),"2024 Home Value $1,000,000+(5m)","2024 Home Value $100,000-200,000(5m)","2024 Home Value $200,000-300,000(5m)","2024 Home Value $300,000-400,000(5m)","2024 Home Value $400,000-500,000(5m)","2024 Home Value $500,000-1,000,000(5m)","2024 Home Value <100,000(5m)","2029 Home Value $1,000,000+(5m)","2029 Home Value $100,000-200,000(5m)","2029 Home Value $200,000-300,000(5m)","2029 Home Value $300,000-400,000(5m)","2029 Home Value $400,000-500,000(5m)","2029 Home Value $500,000-1,000,000(5m)","2029 Home Value <100,000(5m)",2024 Median Home Value(5m),2029 Median HH Value(5m),"2024 Home Value $1,000,000+(10m)","2024 Home Value $100,000-200,000(10m)","2024 Home Value $200,000-300,000(10m)","2024 Home Value $300,000-400,000(10m)","2024 Home Value $400,000-500,000(10m)","2024 Home Value $500,000-1,000,000(10m)","2024 Home Value <100,000(10m)","2029 Home Value $1,000,000+(10m)","2029 Home Value $100,000-200,000(10m)","2029 Home Value $200,000-300,000(10m)","2029 Home Value $300,000-400,000(10m)","2029 Home Value $400,000-500,000(10m)","2029 Home Value $500,000-1,000,000(10m)","2029 Home Value <100,000(10m)",2024 Median Home Value(10m),2029 Median HH Value(10m),% HU Grwth 2020-2024(3m),% HU Grwth 2020-2024(5m),% HU Grwth 2020-2024(10m),date,Market
Jugg St,Moravia,NY,13118,319900.0,83.03,42.7390629,-76.4052826,,Cayuga,Agricultural,,"Nolan's Insurance Agency, Inc",Thomas Nolan,3152550037.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-4.26,-1.73,1.12,-1.58,3879,3188,2890,2808,6269,5448,5216,5126,16778,15568,15742,15494,66941,77752,67419,76879,67092,67541,82552,69279,82118,69267,73033,94811,73447,95104,73217,21,258,104,43,39,48,154,20,251,101,43,38,46,149,169573,169720,35,527,290,109,92,90,307,34,518,286,108,91,89,302,179316,179536,159,1685,958,503,413,472,863,159,1650,939,493,413,472,841,198723,199544,-8.93,-3.23,1.91,2025-02-24,I85 Corridor
491 Kibbie Lake Rd,Constantia,NY,13044-3705,841000.0,579.0,43.2741577,-75.965075,,Oswego,,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/18/2013,100-year Floodplain,3.82,0.7,0.05,-1.06,2489,2298,2413,2436,5554,5501,5711,5751,37332,39959,39979,39555,73763,81992,68863,80113,67425,71456,82696,69336,81340,68541,79678,97662,79638,97063,78364,0,438,49,63,0,0,290,0,442,50,64,0,0,293,129680,129751,2,916,203,110,15,5,651,2,923,204,111,15,5,656,132751,132719,84,5190,3505,1285,344,289,2437,83,5128,3452,1267,343,287,2433,179575,179241,4.9,3.65,-0.15,2025-02-24,I85 Corridor
455 Lafayette Rd,Syracuse,NY,33480,5500000.0,80.0,42.9924338,-76.1271468,RA-1,Onondaga,"Agricultural, Apartment Units, Apartment Units - Senior, Golf Course/Driving Range, MultiFamily, Planned Unit Development, Self-Storage, Single Family Development",,Hospitality Associates,John Christopher,3155691227.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-0.42,-1.9,-2.18,-2.34,51290,51731,52062,51187,143596,146603,145982,143215,317830,324655,317564,310146,49449,74797,49943,75270,49649,46849,70663,47327,71040,47314,57996,80904,59017,81277,58953,144,2632,1384,1070,742,488,3462,142,2561,1345,1041,726,476,3406,156952,156325,234,7480,4297,2095,1148,1057,7050,231,7280,4181,2035,1124,1031,6892,161904,161744,536,30225,14692,5279,2347,2705,16440,528,29352,14274,5133,2291,2633,16018,165085,165060,1.24,1.34,-1.65,2025-02-24,I85 Corridor
3797 Lake,Brockport,NY,14420-1415,2500000.0,199.5,43.229514,-77.942357,PUD,Monroe,Planned Unit Development,,Benchmark Realty Advisors,Adam Rooney,5854899512.0,,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,08/28/2008,100-year Floodplain,1.05,-1.01,-2.15,-1.63,16453,16991,17455,17339,24790,26739,27021,26749,72484,75166,73549,72351,62626,77251,57599,77122,56322,64427,81394,61787,81145,60735,71673,91160,72147,91343,71741,20,1965,824,120,151,117,704,20,1953,823,119,152,115,697,163434,163619,49,3467,1295,247,271,180,1472,49,3427,1287,246,271,177,1450,158220,158462,175,10578,4661,1521,933,644,3262,172,10383,4587,1500,921,633,3204,172083,172194,3.18,1.22,-2.26,2025-02-24,I85 Corridor
0 Maider Rd,Clay,NY,13041,,86.11,43.2023719,-76.2305327,R-APT & R-7.5,Onondaga,Commercial,,Cushman & Wakefield | Pyramid Brokerage Company,Stephen Scuderi,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.97,-2.35,-3.65,-2.52,19408,21173,20531,20032,49143,53862,52263,51036,182472,194481,187379,182660,82736,106477,83982,105880,82752,84819,107034,85011,105777,83444,72650,92501,72658,92267,71891,91,2885,1984,625,84,224,428,89,2805,1922,605,83,219,419,194713,194545,244,7624,4285,1522,436,653,1195,241,7419,4157,1479,425,638,1174,188988,188859,407,27093,12301,4022,904,1522,8722,402,26331,11947,3914,879,1486,8509,169255,169214,-3.24,-3.19,-3.81,2025-02-24,I85 Corridor
0 Main St,Hunt,NY,14846,315000.0,82.6,42.5485029,-77.9864491,1,Livingston,"MultiFamily, Single Family Development",David Piper,David Piper,David Piper,,,,,No,,,,-6.22,-1.09,-4.04,1.03,1539,1365,1315,1301,4067,3634,3408,3371,12354,11792,11316,11432,59999,67594,66129,68266,67500,59435,65133,59776,64634,59629,59420,65795,60567,65302,60423,0,130,20,10,1,4,265,0,129,21,10,1,4,262,81131,81488,1,352,61,29,7,7,627,1,346,62,28,7,7,622,86443,86253,28,1293,307,73,39,57,1861,28,1294,315,74,41,58,1887,98280,97959,-3.95,-6.74,-3.96,2025-02-24,I85 Corridor
1070 NY-414,Waterloo,NY,13165,3500000.0,120.0,42.972386,-76.852203,04 - FARM,Seneca,Commercial,Upstate NY Property Development,Cushman & Wakefield | Pyramid Brokerage Company,Gregory J. Hamel,3154451030.0,3154452074.0,,,No,,,,-6.58,-2.24,-2.81,-1.12,1639,1659,1504,1460,10927,11196,10459,10225,44112,41808,40634,40178,61956,79862,64234,80633,64875,57480,72943,60677,74262,61236,55978,72473,58770,73411,59243,3,158,62,12,18,26,171,3,153,59,12,17,25,166,134177,133660,9,1050,264,76,37,63,1414,9,1025,256,75,36,61,1381,104048,103951,85,3594,1167,608,198,176,5210,85,3538,1151,605,197,174,5135,108598,108691,-9.36,-5.69,-2.53,2025-02-24,I85 Corridor
7892 Oak Orchard Rd,Batavia,NY,14020,,526.0,43.0301556,-78.2001778,B  00,Genesee,Single Family Development,Offhaus Farms Inc,Mancuso Commercial Realty,Anthony Mancuso,5853435257.0,5853435550.0,,,No,,,,-2.86,-1.83,-2.44,-1.75,16563,16151,15427,15092,26428,26040,25294,24831,40081,38951,38002,37338,54719,69608,54873,69862,54956,56604,73594,57793,74213,58029,60846,77790,62364,78256,62491,25,1497,466,95,51,63,1359,24,1472,460,93,49,63,1323,127989,128464,28,2656,1071,188,102,82,2241,27,2617,1062,184,100,82,2192,135504,135919,80,4673,1789,300,187,134,3446,77,4604,1769,295,184,133,3375,139771,140041,-4.42,-2.86,-2.42,2025-02-24,I85 Corridor
Pavement & Walden Ave,Lancaster,NY,14086,,82.0,42.9243979,-78.6254677,C,Erie,"Commercial, Industrial, Office, Warehouse",Uniland Development Co.,Uniland Development Co.,Noah Cliff,7166708063.0,7168345034.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/07/2019,100-year and 500-year Floodplain,2.87,-0.28,0.64,-0.69,17368,21102,21555,21465,67085,74289,76418,76203,370192,379467,381914,379267,76211,97907,79379,98241,79805,77529,102058,80070,102213,79819,68849,93981,71659,93924,71442,28,2032,2157,1337,362,309,353,28,2015,2151,1337,360,311,350,241910,242352,184,8086,7575,3641,1324,1640,1994,187,8032,7555,3636,1324,1649,1989,228277,228656,1131,36219,29322,15905,7349,8170,15061,1129,35910,29252,15888,7349,8176,14780,218070,218980,1.41,2.3,0.39,2025-02-24,I85 Corridor
Pittsford Palmyra Road,Fairport,NY,14450,,114.72,43.065895,-77.3797734,,Monroe,,,Cushman and Wakefield/Pyramid Brokerage Company,Martin Manilla,5852489426.0,5852483981.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,08/28/2008,100-year Floodplain,-0.57,-1.03,-1.04,-1.07,15708,16117,15760,15537,52069,58753,58420,57819,180840,201097,199005,196881,112272,139854,113469,139496,113034,97426,124134,99006,123149,97426,91656,121307,94475,121110,93782,5,1336,1634,1066,493,355,148,5,1317,1608,1047,486,351,149,263310,263152,46,5286,6476,3100,1817,1157,513,46,5227,6396,3056,1802,1153,514,252478,252470,501,18476,19187,11084,5543,4265,3473,495,18246,18942,10943,5478,4225,3449,248551,248537,-2.43,-0.83,-1.26,2025-02-24,I85 Corridor
5219 Rome Taberg Rd,Rome,NY,13440-1725,445000.0,150.0,43.2595467,-75.53816,Agriculture,Oneida,"Agribusiness, Agricultural, Commercial, Golf Course/Driving Range",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",09/27/2013,100-year and 500-year Floodplain,0.68,-1.23,1.17,-1.08,3030,2802,2920,2904,23687,21639,21786,21518,58379,53539,54167,53581,79375,83209,71430,79695,69017,63853,74959,61758,73968,60606,61901,74426,61562,74007,60977,0,343,193,68,45,22,293,0,340,192,68,44,22,290,155101,155294,17,2230,965,484,237,205,2130,17,2202,958,480,234,202,2098,145022,145299,34,5465,2303,886,630,394,5047,34,5391,2278,880,623,389,4975,142680,142849,3.93,0.53,0.94,2025-02-24,I85 Corridor
Route 31,Clay,NY,13041,,181.84,43.185304,-76.171339,Varies,Onondaga,,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.04,-2.75,-2.91,-2.43,16955,18710,17422,16826,86428,90014,86376,84003,260908,276625,268578,262047,97096,117303,103578,117644,104535,79148,98841,80526,98885,79731,62127,81954,62868,81976,62496,55,2856,1700,525,77,293,366,54,2754,1634,505,75,284,354,189985,189905,214,14167,6651,1446,307,760,2173,209,13724,6442,1399,298,741,2111,175428,175422,464,32555,13274,4564,1114,1820,13452,459,31652,12917,4446,1087,1773,13091,161955,161991,-7.13,-4.15,-2.68,2025-02-24,I85 Corridor
12 Schroeppel Rd,Pennellville,NY,13132-3135,2200000.0,114.9,43.2311137,-76.2206047,,Oswego,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Industrial, Industrial Park",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.66,-2.02,-3.51,-2.4,5127,5007,5017,4979,33917,37059,36073,35346,163124,173131,167051,163035,80278,91051,74746,87986,69425,79011,102141,80254,100712,78594,75753,95509,75331,95067,74219,70,789,418,151,27,101,214,71,782,412,151,26,99,216,185044,184718,177,4861,3176,1235,207,470,1052,176,4748,3089,1205,202,461,1043,193334,193070,364,25384,11828,3854,887,1365,6610,360,24690,11500,3754,863,1335,6460,173022,172988,0.0,-2.91,-3.7,2025-02-24,I85 Corridor
4540 Seneca Turnpike W,Syracuse,NY,13215,1000000.0,88.0,43.0045512,-76.1639611,,Onondaga,"Hold for Development, Single Family Development",,Cushman & Wakefield | Pyramid Brokerage Company,Joyce Mawhinney Macknight,3154451030.0,3154452074.0,,,Yes,"River or stream flood hazard areas, and areas with a 1% or greater chance of shallow flooding each year. These areas have a 26% chance of flooding over the life of a 30-year mortgage.",11/04/2016,100-year Floodplain,-1.3,-2.1,-2.14,-2.33,79395,78664,79380,78155,177612,181533,179166,175403,340634,346056,338645,330749,44456,65517,43647,65687,43136,47163,70030,48168,70501,48290,58611,80877,59643,81190,59547,76,3683,1825,1150,430,383,4653,76,3585,1776,1115,423,375,4574,139288,138716,287,11533,5239,2396,1034,1228,8973,282,11225,5094,2328,1012,1196,8749,155250,155180,526,34010,15885,5110,2202,2728,17048,519,33039,15442,4970,2151,2655,16609,163823,163813,2.93,-0.08,-1.64,2025-02-24,I85 Corridor
1135 Toggenburg Rd,Fabius,NY,13063-9788,1995000.0,156.0,42.82627,-75.95987,C1,Onondaga,"Commercial, Golf Course/Driving Range, Hold for Development, Hold for Investment, Hospitality, Lodge/Meeting Hall, Mixed Use, Office, Open Space, Pasture/Ranch, Restaurant, Spclty/Festvl/Entertnmnt, Storefront, Trailer/Camper Park, Warehouse, Winery/Vineyard",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-14.65,-5.13,-6.61,-2.85,1199,1260,1077,1020,3295,3269,2790,2647,20453,19843,18532,18003,77467,102629,78813,103896,78302,79390,103510,81937,104808,82122,83774,108355,85221,108507,84893,0,124,64,59,16,8,64,0,117,61,55,15,8,61,183467,183333,6,297,167,159,39,32,193,6,280,159,150,37,32,182,185353,186071,89,1727,1475,953,402,501,802,87,1669,1427,926,394,497,771,230203,231219,-14.64,-14.51,-6.5,2025-02-24,I85 Corridor
us route 11 Rt,Central Square,NY,13036,9500000.0,200.0,43.2624125,-76.1431314,COM,Oswego,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Distribution, Manuftrd Hms/Mobl Hm Prk, Office, Warehouse",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-3.11,-1.36,-3.03,-2.16,8569,9842,9511,9358,16069,17693,17143,16910,118671,125060,121269,118654,70911,95512,74543,94784,74047,73499,93048,73917,91566,72610,79143,98084,78936,97389,77554,0,1269,782,282,76,136,277,0,1247,769,279,74,134,274,189361,189374,70,2379,1298,614,108,244,703,70,2346,1279,606,105,239,700,184278,184078,327,18574,9033,2929,606,1194,4497,323,18111,8800,2860,591,1167,4427,175820,175713,-3.96,-3.59,-3.19,2025-02-24,I85 Corridor
4885 Verplank Rd,Clay,NY,13041-9603,11500000.0,180.0,43.2027726,-76.177554,,Onondaga,"Airplane Hangar, Airport, Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Commercial, Hold for Development, Hold for Investment, Industrial, Industrial Live/Work Unit, Industrial Park, Retail, Retail Warehouse, Single Family Development, Storefrnt Retail/Residntl, Storefront, Storefront Retail/Office, Warehouse",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-3.86,-2.63,-3.39,-2.47,9580,12455,11665,11293,60939,64038,61569,59951,205234,219376,211934,206700,89680,111178,94125,109845,93883,86265,105984,89361,105698,88814,69008,89001,69268,88883,68657,55,1580,1180,478,99,165,208,53,1527,1137,462,96,161,203,208008,207872,219,10347,5357,1179,224,696,1470,216,10040,5195,1144,218,677,1436,179984,179949,394,28158,12640,4371,1023,1624,10452,389,27379,12302,4258,997,1585,10193,167046,167053,-6.59,-4.06,-3.53,2025-02-24,I85 Corridor
11580 Walden Ave,Alden,NY,14004-9715,,152.0,42.935961,-78.557225,R-C,Erie,"Apartment Units, Commercial, Hold for Development, Industrial, Office, Single Family Development, Trailer/Camper Park, Unknown, Warehouse",,CBRE Upstate NY,Lida Eberz,7168553700.0,7168553725.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/07/2019,100-year Floodplain,5.25,0.14,2.62,-0.34,4245,4720,4759,4727,20067,22606,23792,23826,169873,183113,187910,187278,77324,90508,76264,89463,74917,77916,98653,79764,98409,78940,79339,105656,82321,105325,81736,5,316,660,305,124,150,119,5,314,654,302,123,150,119,261287,261238,82,1511,2799,1554,682,689,548,83,1511,2792,1550,687,697,549,266934,267138,458,17740,17087,9868,5221,5913,4272,460,17583,17024,9854,5228,5923,4241,248384,248945,0.51,4.67,2.25,2025-02-24,I85 Corridor
6150 Lake Rd,Brockport,NY,14420-9735,999900.0,105.699999,43.152725,-77.928929,,Monroe,,ROCHESTER CHRISTIAN CHURCH INC,Howard Hanna Real Estate Services,James Blaine,5857567300.0,5852232769.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",08/28/2008,100-year and 500-year Floodplain,1.03,-0.66,-0.52,-1.12,2607,2543,2574,2558,21850,22492,22723,22574,83863,90005,89534,88528,81604,100485,94515,100594,96183,69309,84196,63938,83644,62560,72960,91003,72162,90885,71668,27,305,313,24,90,6,73,26,301,315,24,91,6,70,213099,214444,87,2529,1452,306,266,91,1075,85,2505,1445,303,265,90,1059,172281,172534,195,13001,5895,1898,949,357,3479,191,12811,5825,1882,936,352,3433,172363,172453,1.98,1.33,-0.58,2025-02-24,I85 Corridor
5342 Taberg Rd,Rome,NY,13440,16000000.0,562.0,43.253653,-75.5341545,,Oneida,,,Coldwell Banker Commercial,Eun Hwang,2017670550.0,2017840825.0,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,09/27/2013,100-year Floodplain,0.22,-1.03,0.68,-0.85,2881,2690,2753,2741,28114,25892,25949,25682,59067,54197,54568,54105,79517,83899,71778,81242,69894,60442,73534,59911,73273,59450,62235,75298,62422,75246,62229,0,323,168,64,51,26,276,0,321,168,64,51,25,274,155108,155295,18,2446,1062,546,277,239,2434,18,2422,1059,548,273,235,2399,144031,144508,35,5495,2326,895,661,404,5026,35,5429,2307,893,654,399,4961,143585,143801,1.93,0.1,0.44,2025-02-24,I85 Corridor
